Date,Time,Open,Close,Mean Value,5 Day SMA,15 Day SMA,30 Day SMA,Adva,Decl,AvgGain,AvgLoss,RSI
2010.09.28,12:00,1.3477,1.3462,1.3475,1.34524,1.344503333,1.33852,0,0.0015,0.00159,0.00061,72.07792
2010.09.28,16:00,1.3461,1.3581,1.35235,1.34651,1.345766667,1.339835,0.012,0,0.00181,0.00061,74.70588
2010.09.28,20:00,1.3581,1.3583,1.3574,1.34926,1.34716,1.341096667,0.0002,0,0.00154,0.00061,71.52318
2010.09.29,0:00,1.3583,1.3579,1.35755,1.35168,1.348093333,1.342086667,0,0.0004,0.00153,0.00064,70.39474
2010.09.29,4:00,1.3579,1.3579,1.35845,1.35465,1.34884,1.343038333,0,0,0.00134,0.00064,67.6259
2010.09.29,8:00,1.3579,1.3592,1.36055,1.35726,1.349696667,1.34396,0.0013,0,0.00144,0.00046,75.56391
2010.09.29,12:00,1.3593,1.3594,1.36095,1.35898,1.350623333,1.344663333,0.0001,0,0.00139,0.00046,74.90347
2010.09.29,16:00,1.3594,1.3629,1.3613,1.35976,1.351603333,1.345416667,0.0035,0,0.00164,0.00042,79.51389
2010.09.29,20:00,1.363,1.3621,1.3632,1.36089,1.352813333,1.346216667,0,0.0009,0.00164,0.00047,77.62712
2010.09.30,0:00,1.3622,1.3607,1.3621,1.36162,1.353786667,1.34697,0,0.0015,0.00149,0.00058,71.97232
2010.09.30,4:00,1.3606,1.3578,1.3592,1.36135,1.354616667,1.347623333,0,0.0028,0.00149,0.00051,74.55197
2010.09.30,8:00,1.3578,1.3661,1.3616,1.36148,1.355656667,1.348456667,0.0083,0,0.00208,0.00051,80.38674
2010.09.30,12:00,1.3661,1.363,1.3649,1.3622,1.357073333,1.349476667,0,0.0031,0.00201,0.00073,73.36815
2010.09.30,16:00,1.363,1.3623,1.3616,1.36188,1.35815,1.350415,0,0.0007,0.00181,0.00078,69.97245
2010.09.30,20:00,1.3623,1.3628,1.36255,1.36197,1.359413333,1.351403333,0.0005,0,0.00185,0.00067,73.3711
2010.10.01,0:00,1.3628,1.3652,1.3641,1.36295,1.36052,1.352511667,0.0024,0,0.00116,0.00067,63.42412
2010.10.01,4:00,1.3653,1.3639,1.3647,1.36357,1.361343333,1.353555,0,0.0014,0.00115,0.00077,59.8513
2010.10.01,8:00,1.3639,1.3737,1.36975,1.36454,1.362166667,1.354663333,0.0098,0,0.00185,0.00074,71.34986
2010.10.01,12:00,1.3738,1.3743,1.37355,1.36693,1.363233333,1.355663333,0.0005,0,0.00189,0.00074,71.73913
2010.10.01,16:00,1.3744,1.3763,1.3746,1.36934,1.36431,1.356575,0.0019,0,0.00193,0.00074,72.19251
2010.10.01,20:00,1.3763,1.3789,1.37765,1.37205,1.36545,1.357573333,0.0026,0,0.00211,0.00074,73.93484
